City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Baruun-Urt,MN,74.89,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
1,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Jamestown,US,74.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Asyut,EG,80.78,overcast clouds,27.181,31.1837,Florence Hotel Assiut
9,Albany,US,70.66,overcast clouds,42.6001,-73.9662,
11,Westport,US,73.8,mist,41.1415,-73.3579,The Westport Inn
12,Tuscaloosa,US,84.25,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
13,Ulaangom,MN,66.54,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
15,Rikitea,PF,71.64,clear sky,-23.1203,-134.9692,People ThankYou
16,Caravelas,BR,69.64,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
18,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
21,Mahanoro,MG,68.22,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
23,Bargur,IN,75.09,overcast clouds,12.5424,78.3539,Shiva hotel
24,Bonthe,SL,76.6,light rain,7.5264,-12.505,Bonthe Holiday Village
27,Hilo,US,83.93,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Bafra,TR,67.78,clear sky,41.5678,35.9069,Sevgi Otel
29,Sibolga,ID,81.36,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
30,Victoria,HK,82.38,light rain,22.2855,114.1577,Mini Hotel Central
31,Kalmunai,LK,82.2,scattered clouds,7.4167,81.8167,VS Villa
33,Yaring,TH,82.44,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
34,Vaini,TO,75.36,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
37,Khatanga,RU,84.65,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
39,Manzhouli,CN,68.43,overcast clouds,49.6,117.4333,Angala International Youth Hostel
